smiles,PI3K-beta,PI3K-alpha,PI3K-delta,PI3K-gamma
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cn2c1-c1cccnc1,1,0,1,1
Cn1nc(-c2cnc(N)c(-c3ccc(N)nc3)n2)nc1C1(c2ccccc2)CC1,1,0,1,1
COCCS(=O)(=O)Nc1cc(-c2sc(NC(C)=O)nc2C)cc2c1C(=O)N([C@@H](C)C1CC1)C2,1,0,1,1
Cn1nc(-c2cnc(N)c(-n3nnc4ccccc43)n2)nc1C1(N2CCOCC2)CC1,1,0,1,1
CNS(=O)(=O)c1cc(-c2sc(NC(C)=O)nc2C)cc2c1C(=O)N([C@@H](C)C1CC1)C2,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1ncc(F)cc1F)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1c(F)cncc1F)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1cn(C)nc1C)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn(C)nc1C)n(-c1c(F)cncc1OC)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1cn(C)nc1C)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1ncc(F)cc1F)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1ncccc1F)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1c(C)cncc1F)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1ccncc1F)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn(C)nc1C)n(-c1cn(C)nc1C)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn(C)nc1C)n(-c1ncc(F)cc1F)c(=O)n3C,1,1,1,1
CCc1cncc(F)c1-n1c(=O)n(C)c2cnc3cc(OC)c(-c4cnn(C)c4)cc3c21,1,1,1,1
CCn1cc(-c2cc3c(cc2OC)ncc2c3n(-c3c(F)cncc3OC)c(=O)n2C)cn1,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1ncccc1F)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1c(F)cncc1OC)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn(C)nc1C)n(-c1ncccc1F)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1cnn(C)c1)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1c(C)cncc1F)c(=O)n3C,1,1,1,1
